TadpoleDensity,MayflyDensity,GrowthPeriod,FilterWt,DryWt,AshedWt,AFDM,IM,AFDM/cm2/d
16,250,8,0.0351,0.0404,0.0387,0.0017,0.0036,3.34751E-06
16,250,9,0.0351,,,0,-0.0351,0
0,250,8,0.0351,0.0389,0.0364,0.0025,0.0013,4.92281E-06
0,0,8,0.0351,0.0451,0.0409,0.0042,0.0058,8.27032E-06
16,250,8,0.0352,0.0428,0.0416,0.0012,0.0064,2.36295E-06
0,0,8,0.0352,,,0,-0.0352,0
0,250,9,0.0352,0.0409,0.0388,0.0021,0.0036,3.6757E-06
0,250,9,0.0353,0.0439,0.0413,0.0026,0.006,4.55086E-06
0,0,9,0.0353,0.0423,0.0397,0.0026,0.0044,4.55086E-06
0,250,9,0.0353,0.0453,0.0425,0.0028,0.0072,4.90093E-06
16,0,9,0.0353,0.0392,0.0377,0.0015,0.0024,2.6255E-06
0,0,8,0.0353,0.0371,0.0361,0.001,0.0008,1.96912E-06
0,0,8,0.0353,0.0376,0.0365,0.0011,0.0012,2.16604E-06
0,0,8,0.0353,0.0392,0.0379,0.0013,0.0026,2.55986E-06
0,0,8,0.0354,0.0372,0.0363,0.0009,0.0009,1.77221E-06
0,250,8,0.1198,0.1292,0.1254,0.0038,0.0056,7.48267E-06
0,250,8,0.1183,0.1308,0.1264,0.0044,0.0081,8.66415E-06
0,250,8,0.1174,0.1211,0.1192,0.0019,0.0018,3.74134E-06
0,250,8,0.1186,0.124,0.1215,0.0025,0.0029,4.92281E-06
16,0,8,0.1196,0.1221,0.1206,0.0015,0.001,2.95369E-06
16,0,8,0.1212,0.1266,0.1243,0.0023,0.0031,4.52899E-06
16,0,8,0.1199,0.1234,0.1215,0.0019,0.0016,3.74134E-06
16,0,8,0.1186,0.1213,0.1201,0.0012,0.0015,2.36295E-06
16,0,8,0.1191,0.1221,0.1205,0.0016,0.0014,3.1506E-06
16,0,8,0.1208,0.1243,0.1227,0.0016,0.0019,3.1506E-06
16,0,8,0.1188,0.1228,0.1213,0.0015,0.0025,2.95369E-06
16,0,8,0.1191,0.1258,0.1234,0.0024,0.0043,4.7259E-06
16,0,8,0.121,0.1266,0.1248,0.0018,0.0038,3.54442E-06
16,0,8,0.1192,0.1244,0.122,0.0024,0.0028,4.7259E-06
16,0,8,0.1192,0.1266,0.1241,0.0025,0.0049,4.92281E-06
16,0,8,0.1203,0.1248,0.1231,0.0017,0.0028,3.34751E-06
16,0,8,0.1208,0.1297,0.1278,0.0019,0.007,3.74134E-06
16,0,8,0.1212,0.1249,0.1232,0.0017,0.002,3.34751E-06
16,250,8,0.1198,0.1521,0.1407,0.0114,0.0209,2.2448E-05
16,250,8,0.1249,0.1526,0.1427,0.0099,0.0178,1.94943E-05
16,250,8,0.1195,0.1551,0.1438,0.0113,0.0243,2.22511E-05
16,250,8,0.1236,0.1391,0.1346,0.0045,0.011,8.86106E-06
16,250,8,0.1235,0.1389,0.1335,0.0054,0.01,1.06333E-05
16,250,8,0.1238,0.1454,0.1381,0.0073,0.0143,1.43746E-05
16,250,8,0.1191,0.1265,0.1241,0.0024,0.005,4.7259E-06
16,250,8,0.1241,0.1446,0.1386,0.006,0.0145,1.18147E-05
16,250,8,0.1245,0.1466,0.1399,0.0067,0.0154,1.31931E-05
16,250,8,0.1203,0.1625,0.149,0.0135,0.0287,2.65832E-05
16,250,8,0.1238,0.1328,0.1306,0.0022,0.0068,4.33207E-06
16,250,8,0.1228,0.14,0.1348,0.0052,0.012,1.02394E-05
16,250,8,0.1243,0.1445,0.139,0.0055,0.0147,1.08302E-05
16,250,8,0.1241,0.1638,0.155,0.0088,0.0309,1.73283E-05
16,250,8,0.1243,0.1361,0.1328,0.0033,0.0085,6.49811E-06
0,250,8,0.1269,0.1796,0.1646,0.015,0.0377,2.95369E-05
0,250,8,0.121,0.1602,0.1488,0.0114,0.0278,2.2448E-05
0,250,8,0.1249,0.1298,0.1275,0.0023,0.0026,4.52899E-06
0,250,8,0.119,0.1617,0.1497,0.012,0.0307,2.36295E-05
0,250,8,0.1238,0.1374,0.1331,0.0043,0.0093,8.46723E-06
0,250,8,0.1243,0.1379,0.1338,0.0041,0.0095,8.07341E-06
0,250,8,0.1208,0.1834,0.1665,0.0169,0.0457,3.32782E-05
0,250,8,0.1259,0.2084,0.1867,0.0217,0.0608,4.273E-05
0,250,8,0.1189,0.1248,0.1226,0.0022,0.0037,4.33207E-06
0,250,8,0.1193,0.1255,0.1232,0.0023,0.0039,4.52899E-06
0,250,8,0.1203,0.1278,0.125,0.0028,0.0047,5.51355E-06
0,250,8,0.1191,0.1224,0.121,0.0014,0.0019,2.75677E-06
0,250,8,0.1199,0.1222,0.121,0.0012,0.0011,2.36295E-06
0,250,8,0.1199,0.1269,0.1245,0.0024,0.0046,4.7259E-06
0,0,8,0.1238,0.1376,0.133,0.0046,0.0092,9.05797E-06
0,0,8,0.1197,0.1322,0.1286,0.0036,0.0089,7.08885E-06
0,0,8,0.1197,0.1582,0.1462,0.012,0.0265,2.36295E-05
0,0,8,0.1249,0.1293,0.1277,0.0016,0.0028,3.1506E-06
0,0,8,0.1195,0.1359,0.1306,0.0053,0.0111,1.04364E-05
0,0,8,0.1266,0.1418,0.1365,0.0053,0.0099,1.04364E-05
0,0,8,0.1258,0.1441,0.1383,0.0058,0.0125,1.14209E-05
0,0,8,0.1248,0.1428,0.1375,0.0053,0.0127,1.04364E-05
0,0,8,0.1251,0.1335,0.1308,0.0027,0.0057,5.31664E-06
0,0,8,0.1213,0.1271,0.1248,0.0023,0.0035,4.52899E-06
